IdEntidad,Nit,RazónSocial,Departamento,Municipio,Dirección,CódigoPostal,Teléfono,Fax,email,PáginaWeb,ÁmbitoSIIF
210170001,800104062:6,Sincelejo,DEPARTAMENTO DE SUCRE,SINCELEJO,CALLE 28 NO.25A-246,700003,095-2740250,095-2740250,contabilidad@sincelejo.gov.co,http://www.alcaldiasincelejo.gov.co,No
210173001,800113389:7,Ibagué,DEPARTAMENTO DE TOLIMA,IBAGUE,CALLE 9 CARRERA 2 Y 3,730001,098-2611189,098-2611773,contabilidad@ibague.gov.co,http://www.ibague.gov.co,No
210176001,890399011:3,Santiago de Cali,DEPARTAMENTO DE VALLE DEL CAUCA,SANTIAGO DE CALI,AVENIDA 2 NORTE #10 - 70. CALI - VALLE,760045,"602-6680277,6531063",602-6680277,genes.velasco@cali.gov.co,http://www.cali.gov.co,No
210181001,800102504:0,Arauca,DEPARTAMENTO DE ARAUCA,ARAUCA,CARRERAA 24 ENTRE CALLE 18 Y 19,810001,097-8853156,097-8865186,alcaldia@arauca-arauca.gov.co,http://www.arauca-arauca.gov.co,No
210185001,891855017:7,Yopal,DEPARTAMENTO DE CASANARE,YOPAL,DIAGONAL 15  15-21,850001,098-6323117,098-6323117,contabilidad@yopal-casanare.gov.co,http://www.yopal-casanare.gov.co,No
210186001,800102891:6,San Miguel de Mocoa,DEPARTAMENTO DE PUTUMAYO,MOCOA,CALLE 7 NO 6-42,860001,312-3102069315,310-3124566441,contactenos@mocoa-putumayo.gov.co,http://www.mocoa-putumayo.gov.co,No
210191001,899999302:9,Leticia,DEPARTAMENTO DE AMAZONAS,LETICIA,CALLE 10 10 47,910001,"098-5928064,5924737,5927693",098-5928064,contactenos@leticia-amazonas.gov.co,http://www.leticia-amazonas.gov.co,No
210194001,892099105:7,Puerto Inírida,DEPARTAMENTO DE GUAINIA,PUERTO INIRIDA,Carrera 7  15 - 50  esquina,940010,098-5656065,098-5656065,secrehacienda@inirida-guainia.gov.co,http://www.inirida-guainia.gov.co,No
210195001,800103180:2,San José del Guaviare,DEPARTAMENTO DE GUAVIARE,SAN JOSE DEL GUAVIARE,CALLE 8 N° 23-87 BARRIO CENTRO,950001,098-5840402,098-5840715,alcaldia@sanjosedelguaviare-guaviare.gov.co,http://www.alcaldiasanjosedelguaviare.gov.co,No
210197001,892099233:1,Mitú,DEPARTAMENTO DE VAUPES,MITU,CALLE 14 14  29B  FRENTE AL PARQUE SANTANDER,970001,"098-5642074,5642072",098-5642072,alcaldia@mitu-vaupes.gov.co,http://www.mitu-vaupes.gov.co,No
210199001,892099305:3,Puerto Carreño,DEPARTAMENTO DE VICHADA,PUERTO CARREÑO,CARRERA 9 NO.18 - 87,990001,311-2915114,098-985654324,secretariahacienda@puertocarreno-vichada.gov.co,http://www.puertocarreno-vichada.gov.co/paginas/default.a,No
210205002,890981195:5,Abejorral,DEPARTAMENTO DE ANTIOQUIA,ABEJORRAL,CARRERA 50 NO. 50-06,050021,"094-8647182,8647611,8648302",094-8647062,hacienda@abejorral-antioquia.gov.co,http://www.abejorral-antioquia.gov.co,No
210225402,800073475:1,La Vega - Cundinamarca,DEPARTAMENTO DE CUNDINAMARCA,LA VEGA (CUNDINAMARCA),CARRERA 3 N. 19-71,253610,"091-8458765,8458922,",091-8458765,contactenos@lavega-cundinamarca.gov.co,http://www.lavega-cundinamarca.gov.co,No
210263302,890000864:6,Génova,DEPARTAMENTO DE QUINDIO,GENOVA,CARRERA 12 NO 25 - 60,632080,"096-7672168,7672126",096-7672126,contactenos@genova-quindio.gov.co,http://www.genova-quindio.gov.co,No
210268502,890208148:5,Onzaga,DEPARTAMENTO DE SANTANDER,ONZAGA,Alcaldía Municipal,682521,097-7217779,097-7217779,geoporrasmejia.gpm@gmail.com,http://www.onzaga-santander.gov.co/,No
210270702,892201282:1,San Juan de Betulia,DEPARTAMENTO DE SUCRE,SAN JUAN DE BETULIA,Carrera 8  7-52,705010,095-9999999,095-9999999,contactenos@sanjuandebetulia-sucre.gov.co,http://sanjuandebetulia-sucre.gov.co,No
210315403,891856257:2,La Uvita,DEPARTAMENTO DE BOYACA,LA UVITA,CARRERA 6 6 15,150860,"098-7895302,7895050,7895295",098-7606339,alcaldia@lauvita-boyaca.gov.co,http://www.lauvita-boyaca.gov.co,No
210341503,891180179:3,Oporapa,DEPARTAMENTO DE HUILA,OPORAPA,Alcaldía Municipal,418001,098-3176383342,098-8790640,tesoreria@oporapa-huila.gov.co,http://oporapa-huila.gov.co/index.shtml,No
210347703,891780055:3,San Zenón,DEPARTAMENTO DE MAGDALENA,SAN ZENON,CARRERA 2 10-08,474060,031-3148763446,078-6855190,secretariadehacienda@sanzenon-magdalena.gov.co,http://www.sanzenon-magdalena.gov.co/,No
210352203,800019816:9,Colón (Génova) - Nariño,DEPARTAMENTO DE NARIÑO,COLON (GENOVA),PARQUE PRINCIPAL CENTRO MPIO DE COLON GENOVA,521060,092-7264632,092-7264654,alcaldia@colongenova-narino.gov.co,http://www.colongenova-narino.gov.co/,No
210354003,890504612:0,Ábrego,DEPARTAMENTO DE NORTE DE SANTANDER,ABREGO,CALLE 14 CARRERA 5 ESQUINA,546070,"097-642300,642178,642178",097-5642178,alcaldia@abrego-nortedesantander.gov.co,http://www.abrego-nortedesantander.gov.co,No
210376403,800100524:9,La Victoria - Valle del Cauca,DEPARTAMENTO DE VALLE DEL CAUCA,LA VICTORIA (VALLE),CARRERA 7 Nº 8-45,762510,057-3157606424,057-3157606424,financiera@lavictoria-valle.gov.co,http://www.lavictoria-valle.gov.co,No
210405004,890981251:1,Abriaquí,DEPARTAMENTO DE ANTIOQUIA,ABRIAQUI,CARRERA 11 11-'07,057460,094-8520024,094-8520024,alcaldia@abriaqui-antioquia.gov.co,http://www.abriaqui-antioquia.gov.co,No
210405604,890984312:4,Remedios,DEPARTAMENTO DE ANTIOQUIA,REMEDIOS,CALLE 10 NO 10-02,052820,"094-8534791,8534744,8303734",094-8303734,haciendarem@gmail.com,http://,No
210415104,800023383:7,Boyacá,DEPARTAMENTO DE BOYACA,BOYACA,CARRERA 4 4 36,153610,000-3112375379,098-7375005,contactenos@boyaca-boyaca.gov.co,http://www.boyaca-boyaca.gov.co/,No
210415204,891801932:1,Cómbita,DEPARTAMENTO DE BOYACA,COMBITA,CALLE 3 NO. 5 - 63 PALACIO MUNICIPAL.,150201,098-7310010,098-7310010,alcaldia@combita-boyaca.gov.co,http://www.combita-boyaca.gov.co/,No
210415804,891800860:3,Tibaná,DEPARTAMENTO DE BOYACA,TIBANA,Alcaldia Municipal,153260,098-87338191,098-87338432,sabinacuervo@hotmail.com,http://www.tibana.gov.co,No
210470204,892280053:7,Colosó (Ricaurte),DEPARTAMENTO DE SUCRE,COLOSO (RICAURTE),CALLE 13 A #4A-80,707030,311-4382218,095-2824550,alcaldia@coloso-sucre.gov.co,http://www.coloso-sucre.gov.co,No
210473504,890700942:6,Ortega,DEPARTAMENTO DE TOLIMA,ORTEGA,CALLE 6 NO. 5 -30 BARRIO CENTRO,735501,"098-2258106,2258106,2258106",098-2258782,secretriahacienda@ortega-tolima.gov.co,http://www.ortega-tolima.gov.co,No
210518205,800095757:6,Curillo,DEPARTAMENTO DE CAQUETA,CURILLO,Calle11 No 2-01,186050,057-3223303632,098-4302369,alcaldia@curillo-caqueta.gov.co,http://curillo-caqueta.gov.co,No
210525805,800018689:5,Tibacuy,DEPARTAMENTO DE CUNDINAMARCA,TIBACUY,CALLE 5 N° 2 - 21,252230,"091-8668165,8668158,",091-8668158,tesoreria@tibacuy-cundinamarca.gov.co,http://www.tibacuy-cundinamarca.gov.co/,No
210527205,891680057:9,Condoto,DEPARTAMENTO DE CHOCO,CONDOTO,Carrera 3  6 - 52,273030,"094-6798007,9798003,",094-6798007,financiera@condoto-choco.gov.co,http://condoto-choco.gov.co,No
210547205,819003225:5,Concordia - Magdalena,DEPARTAMENTO DE MAGDALENA,CONCORDIA (MAGDALENA),Alcaldía Municipal,476030,322-3106877,318-3484591,hacienda@concordia-magdalena.gov.co,http://www.concordia-magdalena.gov.co,No
210547605,891780052:1,Remolino,DEPARTAMENTO DE MAGDALENA,REMOLINO,CALLE 10 CARRERA 2 ESQUINA,477020,095-4178100,095-4178100,ticontar@gmail.com,http://,No
210552405,800019111:5,Leiva,DEPARTAMENTO DE NARIÑO,LEYVA,CALLE 3 2 35 BRR PRIMAVERA,527060,092-7231726,092-7231726,alcaldia@leiva-narino.gov.co,http://leiva-narino.gov.co,No
210554405,800044113:5,Los Patios,DEPARTAMENTO DE NORTE DE SANTANDER,LOS PATIOS,CALLE 35 NO.3-80 BARRIO DOCE DE OCTUBRE,541010,097-5829959,097-5829959,secretariadehacienda@lospatios-nortedesantander.gov.co,http://www.lospatios-nortedesantander.gov.co,No
210568705,890205973:1,Santa Bárbara - Santander,DEPARTAMENTO DE SANTANDER,SANTA BARBARA (SANTANDER),Alcaldia Municipal,681021,"097-6707626,6569083,",097-6707626,alcaldia@santabarbara-santander.gov.co,http://www.santabarbara-santander.gov.co/,No
210605206,890983718:6,Concepción - Antioquia,DEPARTAMENTO DE ANTIOQUIA,CONCEPCION (ANTIOQUIA),Carrera 21  19 - 23,053810,"094-8567084,8567106,8567083",094-8567085,concal01@edatel.net.co,http://,No
210605306,890983786:7,Giraldo,DEPARTAMENTO DE ANTIOQUIA,GIRALDO,CARRERA 10 9 36 IN 107,057040,094-8571107,094-8571106,tesoreria@giraldo-antioquia.gov.co,http://www.giraldo-antioquia.gov.co/,No
210608606,890103962:2,Repelón,DEPARTAMENTO DE ATLANTICO,REPELON,Calle 8 No 7 - 09 Esquina,085040,"095-8709631,8709641",095-8709641,contactenos@repelon-atlantico.gov.co,http://,No
210613006,800037371:1,Achí,DEPARTAMENTO DE BOLIVAR,ACHI,CALLE 8 N° 4 16,134020,095-6820302,095-6820302,alcaldia@achi-bolivar.gov.com,http://www.achi-bolivar.gov.co,No
210615106,800099721:1,Briceño - Boyacá,DEPARTAMENTO DE BOYACA,BRICEÑO (BOYACA),PALACIO MUNICIPAL PARQUE PRINCIPAL,154670,057-3208472566,057-3208472566,alcaldia@briceno-boyaca.gov.co,http://www.briceno-boyaca.gov.co,No
210615806,891855361:6,Tibasosa,DEPARTAMENTO DE BOYACA,TIBASOSA,CARRERA 10. NO. 3 -25 PARQUE PRINCIPAL,152260,098-7793838,098-7793230,sechacienda@tibasosa-boyaca.gov.co,http://www.tibasosa-boyaca.gov.co/,No
210625506,890680088:3,Venecia - Cundinamarca,DEPARTAMENTO DE CUNDINAMARCA,VENECIA (OSPINA PEREZ),CALLE 3 # 3-97,252030,091-8681167,091-8681167,despachoalcaldia@venecia-cundinamarca.gov.co,http://www.venecia-cundinamarca.gov.co/,No
210627006,891680050:8,Acandí,DEPARTAMENTO DE CHOCO,ACANDI,CALLE CONSISTORIAL-MUNICIPIO DE ACANDI CHOCO,278010,"094-5628026,5628173,3664244",094-5628173,contactenos@acandi-choco.gov.co,http://www.acandi-choco.gov.co,No
210641006,891180069:1,Acevedo,DEPARTAMENTO DE HUILA,ACEVEDO,CARRERA 4 CALLE 9 ESQUINA,417070,"098-8317006,8317019",098-8317261,secretariadehacienda@acevedo-huila.gov.co,http://www.acevedo-huila.gov.co/,No
210641206,891180028:1,Colombia,DEPARTAMENTO DE HUILA,COLOMBIA,CALLE 6 No. 3 - 74,411080,097-3142946550,097-8319697,secretariahacienda@colombia-huila.gov.co,http://www.colombia-huila.gov.co,No
210641306,891180176:1,Gigante,DEPARTAMENTO DE HUILA,GIGANTE,Carrera 4  Calle 3 Esquina,414001,098-8325122,098-8325042,tesoreria@gigante-huila.gov.co,http://www.gigante-huila.gov.co,No
210650006,892001457:3,Acacías,DEPARTAMENTO DEL META,ACACIAS,CALLE 14 N. 21 32 BARRIO COOPERATIVO,507001,"098-6469049,6569997",098-6469049,presupuesto@acacias.gov.co,http://www.acacias.gov.co,No
210650606,800098199:1,Restrepo - Meta,DEPARTAMENTO DEL META,RESTREPO (META),CALLE 7 NO. 8-01 BARRIO EL CENTRO,501031,312-3048761,068-6550026,alcaldia@restrepo-meta.gov.co,http://www.restrepo-meta.gov.co,No
210652506,800099115:6,Ospina,DEPARTAMENTO DE NARIÑO,OSPINA,SECTOR LA AMISTAD PALACIO MUNICIPAL,523040,092-7752304,092-7752304,alcaldia@ospina-narino.gov.co,http://www.ospina-narino.gov.co,No
210654206,800099236:9,Convención,DEPARTAMENTO DE NORTE DE SANTANDER,CONVENCION,CARRERAA 6 #4-14,547050,097-5630840,097-5630840,contactenos@convencion-nortedesantander.gov.co,http://www.convencion-nortedesantander.gov.co/,No
210668406,890206110:7,Lebrija,DEPARTAMENTO DE SANTANDER,LEBRIJA,CALLE 11 NO. 8 - 59 EL CENTRO,687571,"097-6566410,6566334,6567100",097-6567100,alcaldia@lebrija-santander.gov.co,http://www.lebrija-santander.gov.co,No
210676306,800100520:1,Ginebra,DEPARTAMENTO DE VALLE DEL CAUCA,GINEBRA,CARRERA 3 4 17,763510,092-2563170,092-2561019,tesoreria@ginebra-valle.gov.co,http://www.ginebra-valle.gov.co/,No
210676606,891902191:2,Restrepo - Valle del Cauca,DEPARTAMENTO DE VALLE DEL CAUCA,RESTREPO (VALLE),MUNICIPIO DE RESTREPO VALLE DEL CAUCA,760540,313-4296975,"092-2521198,2522760",hacienda@restrepo-valle.gov.co,http://www.restrepo-valle.gov.co,No
210705107,890984415:4,Briceño - Antioquia,DEPARTAMENTO DE ANTIOQUIA,BRICEÑO (ANTIOQUIA),CARRERAA 10 # 9-11,052060,094-8570052,094-8570052,hacienda@briceno-antioquia.gov.co,http://www.briceno-antioquia.gov.co/,No
210705607,890983674:0,El Retiro,DEPARTAMENTO DE ANTIOQUIA,EL RETIRO,CALLE 20 20 40,055430,094-4025450,094-4025450,hacienda@elretiro.gov.co,http://www.elretiro-antioquia.gov.co,No
210715407,891801268:7,Villa de Leyva,DEPARTAMENTO DE BOYACA,VILLA DE LEIVA,CARRERAA 9 13 11,154001,"098-7320232,7320830,",098-7320830,hacienda@villadeleyva-boyaca.gov.co,http://www.villadeleyva-boyaca.gov.co,No
210715507,891801362:1,Otanche,DEPARTAMENTO DE BOYACA,OTANCHE,CARRERA 6 NO3-30,155068,098-7259776,098-7259776,alcaldia@otanche-boyaca.gov.co,http://www.otanche-boyaca.gov.co,No
210719807,891500742:5,Timbío,DEPARTAMENTO DE CAUCA,TIMBIO,Calle 15 Carrera  17 ESQUINA,193520,092-3145915539,092-8278014,armandogomezo@hotmail.com,http://www.timbio-cauca.gov.co,No
210723807,800096807:0,Tierralta,DEPARTAMENTO DE CORDOBA,TIERRALTA,Calle 4 #14-50,234501,094-7687592,094-7771280,despachoalcaldia@tierralta-cordoba.gov.co,http://www.tierralta-cordoba.gov.co,No
210725307,890680378:4,Girardot,DEPARTAMENTO DE CUNDINAMARCA,GIRARDOT,CARRERA 11 CON CALLE 17 ESQUINA,252431,"091-8335050,8311070,8314314",091-8335050,alcaldia@girardot-cundinamarca.gov.co,http://www.girardot-cundinamarca.gov.co,No
210725407,899999330:5,Lenguazaque,DEPARTAMENTO DE CUNDINAMARCA,LENGUAZAQUE,CARRERAA 4 # 3 -10,250601,091-8557131,091-8557131,secretariadehacienda@lenguazaque-cundinamarca.gov.co,http://www.lenguazaque-cundinamarca.gov.co,No
210725807,800094782:6,Tibirita,DEPARTAMENTO DE CUNDINAMARCA,TIBIRITA,CARRERA 4 NO 5 - 21,250820,091-8566027,091-8566027,hacienda@tibirita-cundinamarca.gov.co,http://www.tibirita-cundinamarca.gov.co,No
